composition,formation_energy,band_gap,delta_e
Mg1 Pm1,-0.111143110833335,0.0,-0.111143110833335
Cu1 Y1,-0.2439484175,0.0,-0.2439484175
Au1 Er1,-0.88506276,0.0,-0.88506276
Hf1 Tc1,-0.482266285,0.0,-0.482266285
Os1 Ti1,-0.735973226893133,0.0,-0.735973226893133
Eu1 Mg1,-0.099095619583335,0.0,-0.099095619583335
Gd1 Mg1,-0.0927260883333352,0.0,-0.0927260883333352
Mg1 Sm1,-0.104368048333335,0.0,-0.104368048333335
Os1 Zr1,-0.527704249999999,0.0,-0.527704249999999
Rh1 Zn1,-0.389183295,0.0,-0.389183295
Sn1,0.08276532,0.0,0.08276532
C1 Ge1,0.43360699875,1.772,0.43360699875
Ho1 Sb1,-1.11663587416666,0.0,-1.11663587416666
O1 Zn1,-0.932217242939378,0.0,-0.932217242939378
C1 Sc1,0.389169148750001,0.0,0.389169148750001
Cu1 Sc1,-0.2764692475,0.0,-0.2764692475
Er1 Rh1,-0.935677225,0.0,-0.935677225
Hg1 Ho1,-0.451316224149799,0.0,-0.451316224149799
C1 Y1,0.56832462375,0.0,0.56832462375
P1 Sn1,-0.169100282905569,0.0,-0.169100282905569
Ho1 Te1,-1.24384526333333,0.0,-1.24384526333333
Hg1 Se1,-0.182984242483134,0.176,-0.182984242483134
Cu1 O1,-0.673435953782877,0.0,-0.673435953782877
Cd1 La1,-0.33306865,0.0,-0.33306865
Cu1 N1,0.893523122328247,0.0,0.893523122328247
Hg1 S1,-0.248713479489813,0.179,-0.248713479489813
C1 Sn1,0.765138412824399,0.950000000000001,0.765138412824399
Cd1 Pd1,-0.418948665,0.0,-0.418948665
Ag1 Cl1,-0.617803421559561,1.115,-0.617803421559561
Al1 Dy1,-0.395507823333335,0.0,-0.395507823333335
Pb1 S1,-0.429746182006678,0.0,-0.429746182006678
Hg1 Pd1,-0.142740452483134,0.0,-0.142740452483134
Cd1 Nd1,-0.3266697025,0.0,-0.3266697025
As1 Gd1,-1.54240514625,0.0,-1.54240514625
Te1 Zn1,-0.469457256666665,1.453,-0.469457256666665
C1 Ni1,1.10668469625,0.0,1.10668469625
Hf1 Pt1,-0.982982147500001,0.0,-0.982982147500001
As1 Tb1,-1.21159822983334,0.0,-1.21159822983334
Ga1,0.0237490399999998,0.0,0.0237490399999998
Tb1 Te1,-0.980509079,0.0,-0.980509079
Hg1 Pt1,0.0785405325168655,0.0,0.0785405325168655
Hg1 Zr1,-0.140153782483134,0.0,-0.140153782483134
O1 Ti1,-2.52230953983251,0.0,-2.52230953983251
Pr1 Te1,-1.34831096041667,0.0,-1.34831096041667
Gd1 Sb1,-1.16520539625,0.0,-1.16520539625
Hg1 Ni1,0.234144577516866,0.0,0.234144577516866
Nb1 S1,-1.03672875200668,0.0,-1.03672875200668
Pr1 Sb1,-1.19752609125,0.0,-1.19752609125
N1 Ni1,0.347587327328247,0.0,0.347587327328247
Mn1 Se1,-0.34926936689655,0.0,-0.34926936689655
Au1 Gd1,-0.83999823875,0.0,-0.83999823875
Mg1 Tb1,0.24304753308333,0.0,0.24304753308333
